id,key,value,type
62949365,source,massgis_import_v0.1_20071009085127,regular
62949365,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949392,source,massgis_import_v0.1_20071009085127,regular
62949392,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949447,source,massgis_import_v0.1_20071009085127,regular
62949447,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949489,source,massgis_import_v0.1_20071009085127,regular
62949489,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949552,source,massgis_import_v0.1_20071009085127,regular
62949552,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949564,source,massgis_import_v0.1_20071009085127,regular
62949564,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949571,source,massgis_import_v0.1_20071009085127,regular
62949571,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949664,source,massgis_import_v0.1_20071009085127,regular
62949818,source,massgis_import_v0.1_20071009085127,regular
62949818,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949887,source,massgis_import_v0.1_20071009085127,regular
62949918,source,massgis_import_v0.1_20071009085127,regular
62949918,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62949954,source,massgis_import_v0.1_20071009085127,regular
62949976,source,massgis_import_v0.1_20071009085127,regular
62949976,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950010,source,massgis_import_v0.1_20071009085127,regular
62950010,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950013,source,massgis_import_v0.1_20071009085127,regular
62950013,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950053,source,massgis_import_v0.1_20071009085127,regular
62950156,source,massgis_import_v0.1_20071009085127,regular
62950156,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950235,source,massgis_import_v0.1_20071009085127,regular
62950235,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950272,source,massgis_import_v0.1_20071009085127,regular
62950272,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950407,source,massgis_import_v0.1_20071009085127,regular
62950407,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950412,source,massgis_import_v0.1_20071009085127,regular
62950412,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950550,source,massgis_import_v0.1_20071009085127,regular
62950617,source,massgis_import_v0.1_20071009085127,regular
62950863,source,massgis_import_v0.1_20071009085127,regular
62950863,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62950913,source,massgis_import_v0.1_20071009085127,regular
62950913,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951019,source,massgis_import_v0.1_20071009085127,regular
62951019,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951275,source,massgis_import_v0.1_20071009085127,regular
62951315,source,massgis_import_v0.1_20071009085127,regular
62951315,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951337,source,massgis_import_v0.1_20071009085127,regular
62951337,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951375,source,massgis_import_v0.1_20071009085127,regular
62951456,source,massgis_import_v0.1_20071009085127,regular
62951456,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951485,source,massgis_import_v0.1_20071009085127,regular
62951485,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951494,source,massgis_import_v0.1_20071009085127,regular
62951494,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951584,source,massgis_import_v0.1_20071009085127,regular
62951584,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62951991,source,massgis_import_v0.1_20071009085127,regular
62951991,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952252,source,massgis_import_v0.1_20071009085127,regular
62952252,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952369,source,massgis_import_v0.1_20071009085127,regular
62952369,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952428,source,massgis_import_v0.1_20071009085127,regular
62952428,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952573,source,massgis_import_v0.1_20071009085127,regular
62952573,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952647,source,massgis_import_v0.1_20071009085127,regular
62952647,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62952802,source,massgis_import_v0.1_20071009085127,regular
62952802,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953050,source,massgis_import_v0.1_20071009085127,regular
62953148,source,massgis_import_v0.1_20071009085127,regular
62953148,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953434,source,massgis_import_v0.1_20071009085127,regular
62953434,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953439,source,massgis_import_v0.1_20071009085127,regular
62953439,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953470,source,massgis_import_v0.1_20071009085127,regular
62953470,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953484,source,massgis_import_v0.1_20071009085127,regular
62953484,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953524,source,massgis_import_v0.1_20071009085127,regular
62953524,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953590,source,massgis_import_v0.1_20071009085127,regular
62953590,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953698,source,massgis_import_v0.1_20071009085127,regular
62953698,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62953911,source,massgis_import_v0.1_20071009085127,regular
62953911,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954197,source,massgis_import_v0.1_20071009085127,regular
62954197,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954303,source,massgis_import_v0.1_20071009085127,regular
62954303,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954310,source,massgis_import_v0.1_20071009085127,regular
62954330,source,massgis_import_v0.1_20071009085127,regular
62954330,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954354,source,massgis_import_v0.1_20071009085127,regular
62954354,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954365,source,massgis_import_v0.1_20071009085127,regular
62954365,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954373,source,massgis_import_v0.1_20071009085127,regular
62954373,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954393,source,massgis_import_v0.1_20071009085127,regular
62954393,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954401,source,massgis_import_v0.1_20071009085127,regular
62954709,source,massgis_import_v0.1_20071009085127,regular
62954709,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62954748,source,massgis_import_v0.1_20071009085127,regular
62954758,source,massgis_import_v0.1_20071009085127,regular
62954758,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955150,source,massgis_import_v0.1_20071009085127,regular
62955239,source,massgis_import_v0.1_20071009085127,regular
62955239,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955429,source,massgis_import_v0.1_20071009085127,regular
62955429,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955619,source,massgis_import_v0.1_20071009085127,regular
62955619,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955652,source,massgis_import_v0.1_20071009085127,regular
62955652,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955764,source,massgis_import_v0.1_20071009085127,regular
62955766,source,massgis_import_v0.1_20071009085127,regular
62955783,source,massgis_import_v0.1_20071009085127,regular
62955783,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955812,source,massgis_import_v0.1_20071009085127,regular
62955812,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955828,source,massgis_import_v0.1_20071009085127,regular
62955828,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62955876,source,massgis_import_v0.1_20071009085127,regular
62955876,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956021,source,massgis_import_v0.1_20071009085127,regular
62956049,source,massgis_import_v0.1_20071009085127,regular
62956162,source,massgis_import_v0.1_20071009085127,regular
62956162,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956193,source,massgis_import_v0.1_20071009085127,regular
62956193,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956196,source,massgis_import_v0.1_20071009085127,regular
62956196,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956217,source,massgis_import_v0.1_20071009085127,regular
62956217,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956246,source,massgis_import_v0.1_20071009085127,regular
62956375,source,massgis_import_v0.1_20071009085127,regular
62956382,source,massgis_import_v0.1_20071009085127,regular
62956382,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956399,source,massgis_import_v0.1_20071009085127,regular
62956399,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956417,source,massgis_import_v0.1_20071009085127,regular
62956417,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956426,source,massgis_import_v0.1_20071009085127,regular
62956426,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956429,source,massgis_import_v0.1_20071009085127,regular
62956429,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956487,source,massgis_import_v0.1_20071009085127,regular
62956487,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956491,source,massgis_import_v0.1_20071009085127,regular
62956491,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62956896,source,massgis_import_v0.1_20071009085127,regular
62957021,source,massgis_import_v0.1_20071009085127,regular
62957021,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957229,source,massgis_import_v0.1_20071009085127,regular
62957229,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62957291,source,massgis_import_v0.1_20071009085127,regular
62957352,source,massgis_import_v0.1_20071009085127,regular
62957352,attribution,Office of Geographic and Environmental Information (MassGIS),regular
