id,user,uid,version,changeset,timestamp
8883388,MassGIS Import,15750,1,101798,2007-10-11T18:03:41Z
8883390,MassGIS Import,15750,1,101798,2007-10-11T18:03:42Z
8883391,MassGIS Import,15750,1,101798,2007-10-11T18:03:42Z
8883393,MassGIS Import,15750,1,101798,2007-10-11T18:03:43Z
8883394,MassGIS Import,15750,1,101798,2007-10-11T18:03:43Z
8883398,MassGIS Import,15750,1,101798,2007-10-11T18:03:44Z
8883406,MassGIS Import,15750,1,101798,2007-10-11T18:03:46Z
8883409,MassGIS Import,15750,1,101798,2007-10-11T18:03:47Z
8883415,RacerChick,2119035,5,31904934,2015-06-11T19:20:17Z
8883420,MassGIS Import,15750,1,101798,2007-10-11T18:03:51Z
8883424,LBenoit,2418192,2,26259117,2014-10-22T16:20:04Z
8883426,MassGIS Import,15750,1,101798,2007-10-11T18:03:53Z
8883429,MassGIS Import,15750,1,101798,2007-10-11T18:03:54Z
8883431,MassGIS Import,15750,1,101798,2007-10-11T18:03:55Z
8883433,MassGIS Import,15750,1,101798,2007-10-11T18:03:56Z
8883434,nkhall,179506,5,3052218,2009-11-06T22:12:37Z
8883435,MassGIS Import,15750,1,101798,2007-10-11T18:03:57Z
8883439,MassGIS Import,15750,1,101798,2007-10-11T18:03:59Z
8883441,MassGIS Import,15750,1,101798,2007-10-11T18:04:00Z
